Epoch,Step,d_loss,g_loss,D_real,D_fake
130,5,1.996912,-0.002730,0.502041,0.501269
131,5,1.993296,0.013080,0.496186,0.494511
132,5,1.994613,0.006454,0.496210,0.494864
133,5,2.004242,-0.002981,0.500874,0.501934
134,5,2.004228,0.015891,0.498389,0.499446
135,5,1.997513,0.017685,0.498273,0.497651
136,5,1.995321,0.002352,0.501763,0.500594
137,5,2.007997,-0.016478,0.504378,0.506377
138,5,2.008543,-0.000271,0.500985,0.503121
139,5,2.003248,-0.001884,0.504555,0.505367
140,5,1.999780,-0.017217,0.506076,0.506020
141,5,2.000652,0.006552,0.500004,0.500167
142,5,1.999764,0.022350,0.494726,0.494667
143,5,1.989869,0.025364,0.495364,0.492832
144,5,1.998385,-0.003961,0.502797,0.502394
145,5,2.002210,-0.014676,0.506400,0.506953
146,5,1.986464,0.015106,0.500909,0.497525
147,5,1.976151,0.019988,0.498527,0.492565
148,5,2.007568,-0.003314,0.497788,0.499680
149,5,1.989848,-0.002095,0.504550,0.502012
150,5,1.990164,-0.003352,0.503222,0.500763
151,5,2.005220,-0.007163,0.500257,0.501562
152,5,1.988696,0.016535,0.496482,0.493657
153,5,1.998215,0.001207,0.497048,0.496602
154,5,1.998300,-0.006789,0.503192,0.502767
155,5,1.993692,-0.007089,0.504210,0.502633
156,5,2.007629,-0.006558,0.498258,0.500165
157,5,1.994532,0.019992,0.500149,0.498782
158,5,1.997355,-0.012170,0.501472,0.500811
159,5,1.996002,0.006526,0.500347,0.499348
160,5,1.991516,0.005703,0.499694,0.497573
161,5,1.995172,0.010482,0.500624,0.499417
162,5,2.007102,-0.015615,0.504991,0.506766
163,5,2.001147,-0.009838,0.505253,0.505540
164,5,1.989075,0.022952,0.498493,0.495762
165,5,2.009783,-0.004021,0.495620,0.498065
166,5,2.003415,-0.026182,0.506908,0.507762
167,5,2.004160,-0.014831,0.505092,0.506132
168,5,1.992097,0.039663,0.495928,0.493952
169,5,1.993013,0.018510,0.493322,0.491576
170,5,1.983086,-0.010536,0.504023,0.499795
171,5,2.012387,-0.038895,0.511070,0.514165
172,5,2.003255,0.005540,0.501657,0.502471
173,5,1.997765,0.045588,0.490505,0.489946
174,5,2.008095,0.001698,0.496485,0.498509
175,5,2.010138,-0.033319,0.511659,0.514192
176,5,1.986111,0.005367,0.505890,0.502418
177,5,2.001461,0.010766,0.493389,0.493754
178,5,1.981092,0.039684,0.492691,0.487965
179,5,2.010664,-0.007325,0.499153,0.501819
180,5,2.001592,-0.047234,0.510732,0.511130
181,5,1.990068,-0.005698,0.504842,0.502359
182,5,1.996265,0.010321,0.499407,0.498474
183,5,1.980919,0.018800,0.500912,0.496142
184,5,1.999012,-0.027062,0.509214,0.508967
185,5,1.987385,0.008845,0.502859,0.499705
186,5,1.998077,0.009254,0.496749,0.496268
187,5,1.996610,0.014572,0.497250,0.496403
188,5,1.994601,-0.001696,0.501062,0.499712
189,5,2.000633,-0.008446,0.504258,0.504416
190,5,1.987642,0.010405,0.499321,0.496232
191,5,1.992094,0.017052,0.496350,0.494373
192,5,2.001553,0.001394,0.502774,0.503162
193,5,1.983445,-0.026111,0.513372,0.509236
194,5,2.005804,-0.005564,0.506217,0.507668
195,5,2.011447,0.025731,0.497879,0.500741
196,5,1.994877,0.015092,0.498241,0.496960
197,5,1.984497,0.010618,0.503467,0.499592
198,5,1.993880,-0.008554,0.504321,0.502791
199,5,1.992866,-0.001013,0.505879,0.504096
200,5,1.982639,0.011598,0.499020,0.494680
201,5,1.994604,0.014571,0.491130,0.489780
202,5,1.968387,0.011087,0.509218,0.501317
203,5,1.984367,0.030282,0.497299,0.493392
204,5,1.929834,0.096313,0.500630,0.483104
205,5,2.088246,-0.095642,0.516295,0.538285
206,5,2.027919,-0.009670,0.505267,0.512244
207,5,1.994079,0.035305,0.494566,0.493086
208,5,2.006481,0.024090,0.486856,0.488474
209,5,2.003098,0.001462,0.504708,0.505482
210,5,1.993899,-0.062814,0.509684,0.508160
211,5,1.991129,-0.038128,0.510002,0.507786
212,5,1.973751,0.023142,0.504636,0.498075
213,5,1.969089,0.058461,0.492245,0.484522
214,5,2.002292,0.012790,0.500955,0.501528
